ts,unit,code,description,detail,data
20250203 11:49:05,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 212.6 V. Output voltage: 213.5 V. Output current: -2.2 A. Cell max voltage: 3325 mV. Cell min voltage: 3316 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001828644e085708eafffd0cf40c1312
20250203 11:54:39,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.1 V. Output voltage: 210.3 V. Output current: 0.0 A. Cell max voltage: 3300 mV. Cell min voltage: 3299 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001828643f0837080000e40ce30c1312
20250203 11:54:59,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.1 V. Output voltage: 211.9 V. Output current: 0.0 A. Cell max voltage: 3301 mV. Cell min voltage: 3295 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001828643f0847080000e50cdf0c1312
20250203 12:14:53,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.4 V. Output voltage: 212.3 V. Output current: -1.1 A. Cell max voltage: 3305 mV. Cell min voltage: 3301 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018286442084b08f5ffe90ce50c1312
20250203 12:15:34,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 211.2 V. Output voltage: 211.5 V. Output current: -0.5 A. Cell max voltage: 3302 mV. Cell min voltage: 3300 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018296440084308fbffe60ce40c1312
20250203 12:22:30,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.1 V. Output voltage: 211.9 V. Output current: 0.0 A. Cell max voltage: 3301 mV. Cell min voltage: 3295 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001828643f0847080000e50cdf0c1312
20250203 12:22:53,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 41 %. SOH: 100 %. Battery voltage: 211.0 V. Output voltage: 211.9 V. Output current: 0.0 A. Cell max voltage: 3299 mV. Cell min voltage: 3297 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001829643e0847080000e30ce10c1312
20250203 12:32:25,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 42 %. SOH: 100 %. Battery voltage: 214.1 V. Output voltage: 215.1 V. Output current: -5.6 A. Cell max voltage: 3351 mV. Cell min voltage: 3335 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",0000000000000000182a645d086708c8ff170d070d1312
20250203 12:32:25,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 42 %. SOH: 100 %. Battery voltage: 214.1 V. Output voltage: 213.5 V. Output current: -4.6 A. Cell max voltage: 3350 mV. Cell min voltage: 3343 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",0000000000000000182a645d085708d2ff160d0f0d1312
20250203 12:46:07,BMS 1,17,Start balancing,"Balancing cells: 33,39,54. Cell min voltage: 3346 mV.",000000008200400000000000000000000000000000120d
